callsign,icao,name,prefix,fir
EGYP,EGYP,Mount Pleasant (Monte Agradable),ISLAND,EGYP
EHAA,EHAA,Amsterdam,,EHAA
EHMC,EHMC,Dutch Mil (Military),,EHAA
EHML,EHML,Bandbox CRC (Military),,EHAA
EIDW,EIDW,Dublin ACC (Up to FL245) - Shannon,,EIDW
EISN,EISN,Shannon,,EISN
EKDK,EKDK,Kobenhavn,,EKDK
ENBD,ENBD,Bodo ACC - Polaris,,ENBD
ENOB,ENOB,Bodo Oceanic,,ENOB
ENOR,ENOR,Polaris,,ENOR
ENOR_S,ENOR-S,Polaris South,ENOR_S,ENOR-S
ENOR-S,ENOR-S,Polaris South,ENOR_S,ENOR-S
ENOS,ENOS,Oslo ACC - Polaris,,ENOS
ENRC,ENRC,Bodo RTC - Polaris,,ENOR
ENSV,ENSV,Stavanger ACC - Polaris,,ENSV
EPWA,EPWW,Warszawa,EPWA,EPWW
EPWW,EPWW,Warszawa,EPWA,EPWW
EPWW-N,EPWW-N,Warszawa,EPWW-N,EPWW
EPWW-S,EPWW-S,Warszawa,EPWW-S,EPWW
EPWW-W,EPWW-W,Warszawa,EPWW-W,EPWW
EPWW-SW,EPWW-SW,Warszawa (if West offline),EPWW-SW,EPWW
EPWW-NW,EPWW-NW,Warszawa (if West offline),EPWW-NW,EPWW
ESMM,ESMM,Malmo ACC - Sweden,,ESMM
ESOS,ESOS,Stockholm ACC - Sweden,,ESOS
ESSR,ESSR,Stockholm RTC - Sweden,,ESOS
EVRR,EVRR,Riga,,EVRR
EYVL,EYVL,Vilnius,,EYVL
FACA,FACA,Cape Town,,FACA
FACA_E,FACA-E,Cape Town ACC (East) - Cape Town,FACA_E,FACA-E
FACA-E,FACA-E,Cape Town ACC (East) - Cape Town,FACA_E,FACA-E
FACA_W,FACA-W,Cape Town ACC (West) - Cape Town,FACA_W,FACA-W
FACA-W,FACA-W,Cape Town ACC (West) - Cape Town,FACA_W,FACA-W
FAJO,FAJO,Johannesburg Oceanic,,FAJO
FAJA,FAJA,Johannesburg,,FAJA
FASA,FASA,South Africa,,FASA
FBGR,FBGR,Gaborone,,FBGR
FCCC,FCCC,Brazzaville,,FCCC
FIMM,FIMM,Mauritius,,FIMM
FLFI,FLFI,Lusaka,,FLFI
FMMM,FMMM,Antananarivo,,FMMM
FNAN,FNAN,Luanda,,FNAN
FQBE,FQBE,Beira,,FQBE
FSSS,FSSS,Seychelles,,FSSS
FTTT,FTTT,N'Djamena,,FTTT
FVHF,FVHF,Harare,,FVHF
FWLL,FWLL,Lilongwe,,FWLL
FYWH,FYWH,Windhoek,,FYWH
FZZA,FZZA,Kinshasa,,FZZA
GCCC,GCCC,Canarias,,GCCC
GCCC_R6,GCCC-R6,Canarias,GCCC_R6,GCCC-R6
GCCC-R6,GCCC-R6,Canarias,GCCC_R6,GCCC-R6
GCCO,GCCO,Canarias Oceanic,,GCCO
GLRB,GLRB,Roberts,,GLRB
GMMM,GMMM,Casablanca,,GMMM
GMMO,GMMO,Agadir,,GMMO
GOOO,GOOO,Dakar,,GOOO
GOOC,GOOC,Dakar Oceanic,,GOOC
GVSC,GVSC,Sal Oceanic,,GVSC
HAAA,HAAA,Addis Ababa,,HAAA
HBBA,HBBA,Bujumbura,,HBBA
HCSM,HCSM,Mogadishu,,HCSM
HECC,HECC,Cairo,,HECC
